tweet,true_label,predicted_label
"Bitcoin following similar price pattern to Amazon stock before the big Amazon rally
https://t.co/zgy4CapfTd
#amazon #stocks #bitcoinrally #markets",0,1.0
Wall Street Breakfast: OPEC Virtual Meeting In The Spotlight. https://t.co/hpQx3fjWBW #stocks #trading #economy,1,1.0
"RT @CallMeShylo: POSITIONS BANKED ✔ 

Now watching the show ✔

10:10am #TiME ✔
2777.77 $SPX #PRiCE ✔
£2368 already #BANKED ✔

DM from @That…",1,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
RT @treabase: $AAPL #patent 20200110485 LIGHT TRANSMISSIVITY-CONTROLLED TOUCH SENSOR PANEL DESIGN #tech #IP #research https://t.co/luMgL0iS…,0,1.0
"Warren Buffett is selling #stocks and Mark Cuban is still waiting to buy into the #StockMarket 
Be weary if you’re a long-term #investor
The market is shaping up to be a classic bear trap",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @vantillian: That Clown is the market try to get me to go ALL-IN. He keeps saying “we already hit bottom, we’re recovering nicely, and i…",0,1.0
$GOOG #patent 20200110622 MOBILE APPLICATION ACTIVITY DETECTOR #tech #IP #research https://t.co/GlNCsV5b01,0,0.0
$AAPL #patent 20200110462 RELATIVE INTERTIAL MEASUREMENT SYSTEM #tech #IP #research https://t.co/UxFOf1Eu34,0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
RT @TraderBDub: Anyone who says we have seen the bottom of the markets has obviously not don't their research. We are experiencing a bull t…,0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
$MA short?,0,1.0
$PFE $LLY - FDA OKs Pfizer's Braftovi combo for certain type of colorectal cancer https://t.co/gASV7TbIMa,0,0.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"Wall Street turns negative premarket
#premarket #nasdaq @sp500 #dowjones
https://t.co/45euYjAOst",0,0.0
"Disney+ Hits New Milestone With 50 Million Paid Subscribers $DIS
https://t.co/zMT09kmIk0",1,1.0
".@lloydfonds  continues its operational realignment process with Strategy 2023/2025 kicking off in FY20. Read full report here @Edison_Inv_Res #shares #stocks
https://t.co/HItxWXNgXt https://t.co/EzQS30oQqj",0,0.0
RT o like ❤️ #trading #stocks #tripledigito https://t.co/VltBYXKaPS,1,1.0
"RT @SquawkAlley: .@Intel CEO Bob Swan discusses the company's $50 million commitment to help fight the virus outbreak. 

@cnbc @jonfortt $I…",0,1.0
"so... what's next? 

$SPX $SPY $VIX $TLT $TYVIX $GLD $GVX $DXY https://t.co/gH22hoHcKt",0,1.0
"RT @CallMeShylo: POSITIONS BANKED ✔ 

Now watching the show ✔

10:10am #TiME ✔
2777.77 $SPX #PRiCE ✔
£2368 already #BANKED ✔

DM from @That…",1,1.0
"RT @DeItaOne: VISA, MASTERCARD COULD RAISE SWIPE FEES ON MANY MERCHANTS, SOURCES SAY
$MA",0,1.0
"RT @awallenstein: BREAKING: Disney+ reaches 50 million paid subscribers in 5 months worldwide, $DIS announces...",0,1.0
